year,month,land,jeju,total
2016,7,66.79,93.81,67.06
2016,8,71.43,101.13,71.73
2016,9,71.3,97.3,71.55
2016,10,73.27,95.96,73.48
2016,11,74.83,98.21,75.04
2016,12,86.76,103.91,86.93
2017,1,86.1,106.06,86.31
2017,2,90.76,121.17,91.07
2017,3,91.67,129.71,92.06
2017,4,74.88,121.12,75.35
2017,5,78.76,117.92,79.14
2017,6,82.33,123.53,82.71
2017,7,76.3,123.87,76.79
2017,8,75.91,120.67,76.4
2017,9,72.82,111.87,73.21
2017,10,72.41,115.98,72.84
2017,11,81.15,116.55,81.48
2017,12,90.41,126.93,90.77
2018,1,91.8,133.46,92.23
2018,2,90.3,131.32,90.75
2018,3,101.15,131.77,101.47
2018,4,90.54,127.67,90.91
2018,5,87.22,129.14,87.64
2018,6,89.29,140.34,89.79
2018,7,86.58,153.18,87.27
2018,8,90.28,159.7,91.02
2018,9,92.14,161.67,92.87
2018,10,101.82,159.01,102.36
2018,11,104.59,160.08,105.11
2018,12,109.34,171.66,109.95
2019,1,110.78,157.61,111.28
2019,2,105.5,136.49,105.85
2019,3,112.1,141.73,112.42
2019,4,98.93,147.52,99.44
2019,5,78.99,144.86,79.65
2019,6,77.67,166.24,78.54
2019,7,78.9,163.53,79.76
2019,8,83.93,166.55,84.83
2019,9,78.73,167.84,79.64
2019,10,87.47,161.84,88.21
2019,11,81.13,153.13,81.83
2019,12,83.72,128.19,84.18
2020,1,84.26,109.48,84.54
2020,2,81.6,110.45,81.91
2020,3,83.05,110.28,83.35
2020,4,74.78,129.46,75.38
2020,5,70.45,113.38,70.91
2020,6,70.58,103.62,70.92
2020,7,70.96,97.68,71.25
2020,8,62.33,119.95,63.01
2020,9,55.43,104.13,55.94
2020,10,50.23,66.03,50.39
2020,11,49.65,65.48,49.8
2020,12,66.98,81.73,67.14
2021,1,70.47,87.75,70.65
2021,2,75.25,92.84,75.44
2021,3,83.78,124.79,84.22
2021,4,75.97,111.0,76.35
2021,5,78.93,95.39,79.1
2021,6,82.72,121.49,83.11
2021,7,87.04,133.68,87.54
2021,8,93.41,153.23,94.07
2021,9,98.21,149.31,98.77
2021,10,107.53,130.14,107.76
2021,11,126.83,149.77,127.06
2021,12,142.46,175.72,142.81
2022,1,153.82,206.86,154.42
2022,2,196.93,229.85,197.32
2022,3,192.34,229.05,192.75
2022,4,201.58,250.33,202.11
2022,5,139.06,263.73,140.34
2022,6,128.84,214.32,129.72
2022,7,150.6,261.31,151.85
2022,8,196.02,340.91,197.74
2022,9,233.37,238.44,233.42
2022,10,251.61,255.03,251.65
2022,11,242.17,243.97,242.19
2022,12,267.55,275.15,267.63
2023,1,240.73,247.55,240.81
2023,2,253.48,260.27,253.56
2023,3,215.87,218.2,215.9
2023,4,164.87,163.87,164.86
2023,5,143.64,143.07,143.64
2023,6,147.12,147.71,147.13
2023,7,153.39,164.72,153.52
2023,8,146.91,173.17,147.22
2023,9,140.93,162.47,141.19
2023,10,136.73,163.17,137.01
2023,11,120.82,123.37,120.85
2023,12,131.05,137.04,131.12
2024,1,137.91,150.67,138.06
2024,2,119.49,122.34,119.53
2024,3,134.4,140.61,134.47
2024,4,125.9,141.72,126.09
2024,5,126.35,127.09,126.36
2024,6,125.99,126.41,125.99
2024,7,132.46,135.55,132.49
2024,8,145.79,151.51,145.86
2024,9,138.78,145.1,138.85
2024,10,117.2,120.62,117.24
2024,11,112.26,108.66,112.22
2024,12,116.58,118.15,116.6
2025,1,117.11,118.9,117.13
2025,2,116.39,116.05,116.39
2025,3,113.12,105.57,113.03
2025,4,124.63,120.24,124.58
2025,5,125.5,122.32,125.47
2025,6,118.02,120.62,118.05
2025,7,120.39,121.13,120.39
2025,8,117.39,118.46,117.4
2025,9,112.9,114.06,112.91
2025,10,101.53,101.17,101.53
2025,11,94.8,95.82,94.81
2025,12,90.43,91.03,90.44
2026,1,103.54,102.94,103.53
2026,2,108.52,108.47,108.52
2026,3,110.03,106.77,109.99
2026,4,118.94,117.24,118.92
